Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Shriram Transport Finance Company Ltd.,511218,SRTRANSFIN,INE721A01013,Financial,Equipment Leasing,2022-09-05,"1,320.80",0.93,"1,002.00","1,696.40",428.70,"1,696.40",428.70,"1,696.40",2.39,"1,696.40","35,730.24","133,529.59",-0.94,-2.88,12.07,-2.17,11.25,4.83,8.06,10.15,13.43,1.32,1.52,10.81,0.62,1.51,9.24,1.82,-4.03,130.04,"1,000.28",-327.48,-501.50,20.00,0.22
Asian Paints Ltd.,500820,ASIANPAINT,INE021A01026,Materials,Paints & Varnishes,2022-09-05,"3,424.80",-0.18,"2,560.00","3,590.00","1,431.20","3,590.00","1,082.00","3,590.00",10.63,"3,590.00","328,506.06","326,706.70",3.05,-1.03,18.63,2.58,30.67,23.40,24.95,94.39,66.57,22.16,16.55,1.66,6.99,0.56,55.99,10.24,333.00,36.27,154.52,10.28,5.46,19.15,0.05
Mastek Ltd.,523704,MASTEK,INE759A01021,Technology,Software,2022-09-05,"1,864.90",-0.50,"1,850.70","3,669.00",165.70,"3,669.00",165.70,"3,669.00",25.75,"3,669.00","5,608.65","5,046.60",-3.10,-9.87,-29.03,-33.35,79.22,43.91,30.99,18.49,16.45,4.96,2.30,10.55,0.37,1.02,9.78,2.51,20.51,100.78,375.75,91.10,76.86,19.00,0.49
Cummins India Ltd.,500480,CUMMINSIND,INE298A01020,Capital Goods,Diesel Engines,2022-09-05,"1,211.45",0.82,842.00,"1,289.40",280.00,"1,289.40",280.00,"1,289.40",31.07,"1,289.40","33,581.39","31,687.65",0.41,2.83,19.98,18.08,29.04,5.94,10.20,38.10,28.80,6.35,4.92,4.15,7.38,1.53,26.19,5.13,47.17,31.92,191.60,25.68,27.43,18.50,0.06
Galaxy Surfactants Ltd.,540935,GALAXYSURF,INE600K01018,Chemicals,Organic Chemicals,2022-09-05,"3,243.75",-0.92,"2,585.00","3,600.00",975.00,"3,600.00",,,871.80,"3,600.00","11,502.94","11,898.21",1.11,3.97,9.66,1.75,36.50,,,40.17,31.28,6.87,6.51,3.21,3.06,0.56,26.66,2.86,"2,333.25",80.76,472.36,1.39,-46.93,18.00,0.10
Hindustan Zinc Ltd.,500188,HINDZINC,INE267A01025,Metals & Mining,Non-Ferrous Metal,2022-09-05,287.45,0.72,242.05,408.60,116.05,408.60,116.05,408.60,0.57,408.60,"121,499.05","102,857.48",0.81,6.01,-4.09,-11.57,10.20,-0.80,8.41,11.31,13.58,3.25,3.14,16.54,3.80,6.26,5.42,3.84,9.57,25.42,88.46,30.04,19.76,18.00,0.30
JSW Steel Ltd.,500228,JSWSTEEL,INE019A01038,Metals & Mining,Finished Steel,2022-09-05,681.95,3.11,520.05,790.00,132.50,790.00,132.50,790.00,4.22,790.00,"164,842.35","212,446.87",2.24,2.65,21.25,-1.30,46.97,21.76,25.99,10.57,10.43,2.43,2.38,13.56,0.27,2.54,6.15,1.08,6.27,64.53,280.71,109.46,36.11,17.35,0.14
Coal India Ltd.,533278,COALINDIA,INE522F01014,Materials,Coal & Lignite,2022-09-05,231.60,1.00,139.15,236.80,109.50,236.80,109.50,316.95,109.50,447.25,"142,728.79","108,100.63",0.72,11.80,17.56,58.25,8.34,-1.24,-4.33,6.20,7.11,2.74,2.81,32.99,0.28,7.34,2.98,1.30,3.47,37.36,84.38,66.67,44.20,17.00,0.02
Rites Ltd.,541556,RITES,INE320J01015,Construction,Infrastructure,2022-09-05,299.00,0.13,226.20,318.00,190.65,331.00,,,152.00,331.00,"7,179.02","3,827.22",2.96,11.84,22.34,9.14,10.15,,,12.34,13.04,2.73,2.38,24.41,1.73,5.69,4.26,2.48,23.19,24.22,109.56,12.89,6.87,17.00,0.06
SRF Ltd.,503806,SRF,INE647A01010,Diversified,Diversified,2022-09-05,"2,601.20",-0.08,"1,973.10","2,773.35",493.53,"2,773.35",302.00,"2,773.35",2.60,"2,773.35","77,106.03","79,922.64",8.31,6.00,9.57,25.77,68.15,53.95,50.52,36.79,24.75,8.43,4.32,3.90,1.04,0.64,22.59,5.72,36.62,70.90,309.32,71.04,-3.05,16.75,0.06
