Company,BSE code,NSE code,ISIN,Sector,Industry,Date,Price,1 day change(%),52 Week Low,52 Week High,3 Year Low,3 Year High,5 Year Low,5 Year High,All Time Low,All Time High,Market Cap(Cr),Enterprise Value(Cr),1-Week Return,1-Month Return,3-Month Return(%),1-Year Return(%),3-Year Return,5-Year Return(%),10-Year Return(%),Price to Earnings,Median P/E,Price to Book,Median P/B,Earning Yield(%),Price earnings to growth,Dividend Yield(%),EV / EBITDA,Price / Sales,Price / Cash Flow,Earning Per Share,Book Value Per Share,Cash Flow Per Share,Free Cash Flow Per Share,Dividend Per Share,Delta
Century Textiles & Industries Ltd.,500040,CENTURYTEX,INE055A01016,Consumer Staples,Paper,2022-09-05,884.10,3.88,685.70,"1,025.00",218.60,"1,025.00",218.60,"1,471.85",20.55,"1,471.85","9,875.02","10,566.63",3.42,4.31,-0.56,4.09,1.68,-6.59,10.54,51.72,27.24,2.63,2.55,2.93,11.53,0.45,20.56,2.24,-193.14,17.12,337.01,-4.58,-13.17,4.00,0.14
Finolex Industries Ltd.,500940,FINPIPE,INE183A01024,Materials,Plastic Tubes & Pipes,2022-09-05,151.95,3.23,125.00,268.00,56.60,268.00,56.60,268.00,2.34,268.00,"9,428.15","7,790.30",4.54,11.65,-5.59,-11.22,14.85,4.54,29.42,9.37,17.79,2.34,2.90,12.95,0.38,2.63,7.55,1.93,15.16,16.20,64.92,10.02,15.73,4.00,0.43
Gujarat Pipavav Port Ltd,533248,GPPL,INE517F01014,Services,Marine Port Services,2022-09-05,86.85,-0.06,70.30,119.00,45.50,124.30,45.50,168.40,41.00,262.00,"4,201.09","3,342.89",1.11,7.29,9.04,-14.56,3.06,-7.69,5.60,18.76,21.44,1.83,2.06,11.13,-3.97,4.60,7.14,5.30,11.05,4.63,47.60,7.87,6.30,4.00,0.27
Hindalco Industries Ltd.,500440,HINDALCO,INE038A01020,Metals & Mining,Aluminium,2022-09-05,429.30,3.47,308.95,636.00,84.90,636.00,84.90,636.00,36.75,636.00,"96,471.23","136,082.30",-2.44,1.80,5.54,-6.94,33.20,12.11,15.27,6.41,24.73,1.17,1.03,18.61,0.13,0.93,4.30,0.46,5.73,67.03,366.83,75.85,28.68,4.00,0.33
Ipca Laboratories Ltd.,524494,IPCALAB,INE571A01038,Healthcare,Drugs & Pharma,2022-09-05,886.35,-0.39,831.05,"1,383.55",422.10,"1,383.55",207.75,"1,383.55",2.75,"1,383.55","22,487.07","21,994.45",-2.59,-13.52,2.93,-30.11,22.77,33.60,14.93,31.22,28.00,3.99,4.50,4.83,0.89,0.45,17.89,3.84,26.27,28.40,222.32,33.74,15.44,4.00,0.36
KEC International Ltd.,532714,KEC,INE389H01022,Capital Goods,Power Projects,2022-09-05,401.80,-0.24,345.50,550.00,154.05,550.00,154.05,550.00,21.60,550.00,"10,347.81","12,938.51",-2.12,-9.50,3.44,-5.26,18.13,5.61,21.96,32.65,17.05,2.83,3.23,6.13,-27.95,1.00,13.89,0.71,-36.47,12.33,142.01,-11.04,-22.50,4.00,0.27
Lupin Ltd.,500257,LUPIN,INE326A01037,Healthcare,Drugs & Pharma,2022-09-05,653.15,-0.08,583.00,995.00,504.75,"1,267.65",504.75,"1,267.65",0.80,"2,129.00","29,696.79","31,624.97",0.07,-1.03,6.87,-32.63,-4.16,-8.12,0.94,,46.19,2.50,2.85,-5.47,,0.61,-97.08,1.91,80.85,-47.50,261.83,8.08,-16.97,4.00,0.34
Quess Corp Ltd.,539978,QUESS,INE615P01015,Financial,Business Consultancy,2022-09-05,565.40,-0.65,527.40,990.00,165.00,990.00,165.00,"1,303.15",165.00,"1,303.15","8,356.14","8,409.82",-1.51,-2.45,-17.66,-32.89,6.39,-7.73,,31.90,41.84,3.39,3.83,5.41,2.25,0.71,12.90,0.57,15.09,17.69,166.54,37.43,23.57,4.00,0.43
Happiest Minds Technologies Ltd.,543227,HAPPSTMNDS,INE419U01012,Technology,Software,2022-09-05,"1,015.05",-0.56,785.60,"1,568.00",,,,,285.55,"1,580.80","14,905.18","14,589.69",-2.04,4.78,7.10,-32.47,,,,73.86,97.29,20.73,24.49,2.16,2.03,0.37,46.20,12.65,88.66,13.74,48.97,11.78,10.86,3.75,0.35
TVS Motor Company Ltd.,532343,TVSMOTOR,INE494B01023,Automobile,Two & Three Wheelers,2022-09-05,"1,038.05",1.19,519.45,"1,043.00",240.10,"1,043.00",240.10,"1,043.00",3.06,"1,043.00","49,347.30","62,373.00",8.76,11.13,42.14,92.09,41.53,11.06,39.33,46.00,38.75,10.49,7.23,4.11,6.19,0.36,18.86,1.83,-31.63,22.58,99.05,-32.84,-55.29,3.75,0.00
Indraprastha Gas Ltd.,532514,IGL,INE203G01027,Energy,Natural Gas Utilities,2022-09-05,415.30,-0.71,327.20,604.00,284.05,604.00,215.20,604.00,11.13,604.00,"29,106.03","26,567.04",-0.76,18.13,16.51,-25.59,8.29,10.47,24.00,17.07,27.75,3.64,5.68,8.13,0.81,1.32,11.57,2.74,18.83,24.37,114.38,22.09,11.45,3.60,0.31
Mahindra & Mahindra Financial Services Ltd.,532720,M&MFIN,INE774D01024,Financial,Misc. Fin.services,2022-09-05,214.90,2.77,128.10,217.00,76.46,245.89,76.46,327.76,16.72,327.76,"26,563.89","83,082.14",4.09,10.29,15.26,30.12,2.30,-3.71,9.02,9.01,18.45,1.56,1.63,10.20,0.21,1.68,9.86,2.34,"1,470.87",23.88,138.26,0.15,-27.95,3.60,0.01
APL Apollo Tubes Ltd.,533758,APLAPOLLO,INE702C01019,Metals & Mining,Steel Tubes & Pipes,2022-09-05,"1,057.45",2.12,750.10,"1,146.95",102.50,"1,146.95",100.33,"1,146.95",2.25,"1,146.95","26,464.66","26,098.18",8.33,0.44,6.09,24.46,101.53,46.15,53.04,51.18,30.19,11.11,5.12,3.19,1.64,0.33,28.27,1.96,40.61,20.66,95.22,26.04,0.64,3.50,0.08
Carborundum Universal Ltd.,513375,CARBORUNIV,INE120A01034,Metals & Mining,Abrasives,2022-09-05,854.00,-0.88,652.00,"1,035.00",175.00,"1,035.00",175.00,"1,035.00",6.45,"1,035.00","16,215.91","16,216.11",5.15,-1.13,22.44,4.15,44.83,20.03,19.21,48.41,29.22,6.68,4.17,3.26,3.16,0.41,26.99,4.37,66.31,17.64,127.84,12.88,-17.03,3.50,0.17
Firstsource Solutions Ltd.,532809,FSL,INE684F01012,Services,Misc.Other Services,2022-09-05,106.25,1.43,93.00,222.70,20.10,242.85,20.10,242.85,5.55,242.85,"7,398.56","8,091.81",-0.75,0.85,-5.43,-44.20,29.92,22.96,27.79,15.16,13.07,2.41,1.75,8.07,1.22,3.30,8.90,1.27,10.52,7.00,44.00,10.09,7.35,3.50,0.52
Housing & Urban Development Corporation Ltd.,540530,HUDCO,INE031A01017,Financial,Housing Finance,2022-09-05,42.05,0.84,30.60,47.30,18.00,58.25,18.00,92.60,18.00,102.35,"8,428.00","69,194.27",5.39,12.89,18.12,-3.00,6.26,-12.60,,4.89,5.61,0.57,0.67,9.98,0.32,8.32,10.07,1.23,-10.46,8.61,74.32,-4.03,-3.95,3.50,0.11
IIFL Finance Ltd.,532636,IIFL,INE530B01024,Financial,Hire Purchase,2022-09-05,338.55,-1.47,260.20,396.00,58.15,396.00,58.15,874.00,14.90,874.00,"12,847.40","40,968.08",-2.28,1.56,4.14,22.11,40.80,-11.33,,10.26,10.92,1.90,1.89,12.29,1.60,1.03,8.51,1.77,7.20,32.96,178.52,46.99,47.63,3.50,0.15
Indian Railway Catering & Tourism Corporation Ltd.,542830,IRCTC,INE335Y01020,Services,Travel & Tourism,2022-09-05,710.90,-0.25,557.00,"1,279.26",,,,,125.00,"1,279.26","56,872.00","55,292.43",-1.08,11.25,6.84,23.85,,,,68.79,114.89,26.71,34.32,2.18,0.39,0.49,47.14,22.85,108.59,10.33,26.62,6.55,7.68,3.50,0.44
KRBL Ltd.,530813,KRBL,INE001B01026,Consumer Staples,Other Agriculture Products,2022-09-05,321.85,3.06,184.50,337.95,91.25,339.60,91.25,675.00,1.03,675.00,"7,576.02","7,479.45",14.01,29.36,42.98,24.48,15.37,-7.45,30.57,15.68,11.49,1.79,1.86,9.13,6.87,1.09,10.12,1.71,19.74,20.52,179.90,16.30,14.59,3.50,0.05
Prince Pipes & Fittings Ltd.,542907,PRINCEPIPE,INE689W01016,Materials,Plastic Tubes & Pipes,2022-09-05,596.20,0.53,549.30,897.00,,,,,75.00,897.00,"6,588.33","6,637.59",2.69,-1.47,-6.27,-10.37,,,,26.60,28.93,5.14,6.34,5.30,3.14,0.59,15.70,2.25,-337.86,22.40,115.89,-1.76,-18.31,3.50,0.34
Tube Investments of India Ltd.,540762,TIINDIA,INE974X01010,Automobile,Auto Ancillaries,2022-09-05,"2,487.85",8.53,"1,281.00","2,515.00",254.00,"2,515.00",,,211.00,"2,515.00","48,215.13","44,134.65",15.70,12.09,58.81,86.23,95.90,,,58.75,56.50,14.52,9.61,3.02,1.02,0.14,26.03,3.60,54.96,42.52,172.05,45.48,29.78,3.50,0.01
Vardhman Textiles Ltd.,502986,VTL,INE825A01020,Textiles,Cotton & Blended Yarn,2022-09-05,328.80,0.37,245.50,576.00,118.58,576.00,118.58,576.00,3.63,576.00,"9,505.07","10,884.83",-1.89,3.69,13.32,-14.78,23.67,6.02,22.61,6.09,9.87,1.19,1.15,21.53,0.60,2.07,4.32,0.90,56.45,54.01,277.62,29.77,-24.01,3.50,0.43
Apollo Tyres Ltd.,500877,APOLLOTYRE,INE438A01022,Automobile,Tyres & Tubes,2022-09-05,254.60,1.05,165.85,268.30,73.40,268.30,73.40,307.25,3.70,307.25,"16,169.67","20,565.61",3.79,9.65,16.63,14.14,13.12,0.31,10.70,23.00,18.03,1.35,1.17,7.14,-5.40,1.28,7.37,0.72,7.22,11.05,188.00,35.25,1.48,3.25,0.05
Clean Science And Technology Ltd.,543318,CLEAN,INE227W01023,Chemicals,Misc.Chem.,2022-09-05,"1,790.30",1.94,"1,440.90","2,705.00",,,,,"1,422.10","2,705.00","19,053.70","18,385.59",0.36,9.90,-0.94,10.48,,,,80.47,106.41,22.91,25.93,1.83,6.61,0.18,53.27,24.66,149.74,22.29,78.30,11.98,-0.68,3.25,0.34
Berger Paints India Ltd.,509480,BERGEPAINT,INE463A01038,Materials,Paints & Varnishes,2022-09-05,660.50,-1.14,543.60,856.95,358.00,872.95,232.00,872.95,1.64,872.95,"64,157.62","65,221.83",0.05,-0.97,8.47,-20.55,22.44,21.96,29.46,67.85,75.01,15.39,16.99,2.15,4.38,0.47,41.86,6.60,113.25,9.74,42.93,5.83,-2.15,3.10,0.23
KPIT Technologies Ltd.,542651,KPITTECH,INE04I401011,Technology,Software,2022-09-05,556.80,-1.31,300.25,801.00,34.35,801.00,,,34.35,801.00,"15,272.55","14,455.70",-1.73,7.03,0.81,68.88,79.17,,,51.01,39.50,11.06,3.59,3.14,0.98,0.56,27.68,5.99,32.15,10.92,50.38,17.59,15.35,3.10,0.30
Aarti Industries Ltd.,524208,AARTIIND,INE769A01020,Chemicals,Organic Chemicals,2022-09-05,845.10,0.86,668.85,"1,168.40",331.03,"1,168.40",208.75,"1,168.40",3.34,"1,168.40","30,635.22","32,798.48",4.44,4.42,17.29,-7.47,29.15,31.67,46.15,23.02,31.35,5.02,6.19,5.08,1.55,0.41,16.52,4.00,35.10,36.73,168.36,50.09,-31.88,3.00,0.28
Allcargo Logistics Ltd.,532749,ALLCARGO,INE418H01029,Services,Logistics,2022-09-05,338.10,-3.30,220.55,412.00,48.60,412.00,48.60,412.00,27.19,412.00,"8,311.88","9,644.63",0.10,13.55,-0.19,49.11,56.06,14.93,17.88,7.74,15.34,2.43,1.40,15.82,0.22,0.89,5.40,0.37,9.77,43.69,139.24,34.61,16.55,3.00,0.18
Astral Ltd.,532830,ASTRAL,INE006I01046,Materials,Plastic Tubes & Pipes,2022-09-05,"2,305.10",-0.40,"1,581.55","2,525.00",559.24,"2,525.00",405.84,"2,525.00",1.80,"2,525.00","46,301.43","45,983.83",9.31,17.42,32.02,9.75,43.35,41.37,52.32,92.83,72.59,19.07,12.30,1.62,3.23,0.13,54.76,9.53,85.25,24.83,120.84,27.02,10.08,3.00,0.09
Bajaj Electricals Ltd.,500031,BAJAJELEC,INE193E01025,Consumer Discretionary,Kitchenware & Appliances,2022-09-05,"1,224.25",0.16,858.55,"1,588.95",260.00,"1,588.95",260.00,"1,588.95",1.61,"1,588.95","14,066.92","13,927.36",0.02,7.21,23.70,1.70,49.24,29.43,21.99,73.18,63.77,8.04,5.54,2.79,24.95,0.25,35.48,2.77,15.39,16.83,153.24,79.58,68.14,3.00,0.23
Bharti Airtel Ltd.,532454,BHARTIARTL,INE397D01024,Communication,Telecom Services,2022-09-05,740.40,0.73,628.75,792.65,319.35,792.65,249.40,792.65,9.30,792.65,"441,244.43","556,081.03",1.31,6.64,7.85,14.61,29.72,14.57,12.65,79.10,143.21,5.95,3.51,4.99,2.88,0.41,9.03,3.60,8.02,9.37,124.48,98.42,18.11,3.00,0.07
Can Fin Homes Ltd.,511196,CANFINHOME,INE477A01020,Financial,Housing Finance,2022-09-05,638.60,0.42,406.65,722.00,253.30,722.00,216.50,722.00,2.76,722.00,"8,499.89","32,788.87",0.25,10.09,36.03,8.97,16.72,2.51,42.11,16.21,15.54,2.63,2.72,5.97,1.05,0.47,16.74,3.96,-2.17,39.39,242.49,-294.12,-307.52,3.00,0.12
Caplin Point Laboratories Ltd.,524742,CAPLIPOINT,INE475E01026,Healthcare,Drugs & Pharma,2022-09-05,775.00,0.28,626.00,"1,008.40",176.20,"1,034.80",176.20,"1,034.80",0.18,"1,034.80","5,874.54","5,412.78",1.47,-4.97,2.04,4.72,22.80,3.64,,18.73,18.73,3.75,4.52,8.21,0.82,0.26,12.09,4.47,22.10,41.42,207.15,35.14,28.17,3.00,0.23
Ceat Ltd.,500878,CEATLTD,INE482A01020,Automobile,Tyres & Tubes,2022-09-05,"1,388.90",-1.98,890.00,"1,435.00",600.00,"1,763.15",600.00,"2,030.00",13.42,"2,030.00","5,618.11","7,778.70",0.63,4.91,36.78,5.95,15.80,-4.02,28.90,99.22,17.12,1.71,1.53,3.66,-2.88,0.22,10.82,0.55,9.08,13.96,809.74,153.00,-137.27,3.00,0.03
DLF Ltd.,532868,DLF,INE271C01023,Construction,Real Estate,2022-09-05,394.10,-0.23,294.70,449.80,114.50,449.80,114.50,449.80,72.35,"1,225.00","97,737.68","100,535.37",3.71,7.21,19.19,14.66,33.96,15.96,7.17,59.84,31.04,2.67,1.37,2.38,8.44,0.76,46.69,16.24,34.51,6.60,147.94,11.44,6.46,3.00,0.12
Hitachi Energy India Ltd.,543187,POWERINDIA,INE07Y701011,Capital Goods,Industrial Machinery,2022-09-05,"3,809.10",1.01,"2,160.00","4,042.60",,,,,714.00,"4,042.60","16,155.26","16,023.52",3.41,10.59,12.63,56.71,,,,108.42,85.37,14.25,11.90,1.56,3.73,0.08,57.67,4.08,-127.52,35.16,267.50,-29.88,-74.02,3.00,0.06
Indigo Paints Ltd.,543258,INDIGOPNTS,INE09VQ01012,Materials,Paints & Varnishes,2022-09-05,"1,546.85",-2.69,"1,353.60","2,695.00",,,,,"1,353.60","3,348.00","7,332.05","7,301.69",-7.40,-2.26,-1.57,-41.10,,,,79.39,107.12,10.99,12.98,1.92,3.21,0.19,45.79,7.53,112.47,19.41,140.23,13.70,-11.21,3.00,0.43
Manappuram Finance Ltd.,531213,MANAPPURAM,INE522D01027,Financial,Misc. Fin.services,2022-09-05,104.45,1.36,81.50,224.50,74.25,224.50,66.25,224.50,0.16,224.50,"8,836.36","30,136.61",-0.38,2.75,10.47,-36.17,-4.39,0.64,11.59,7.53,9.24,1.02,2.16,12.76,0.84,2.87,7.92,1.49,-20.89,13.87,102.04,-5.00,-19.65,3.00,0.53
MAS Financial Services Ltd.,540749,MASFIN,INE348L01012,Financial,Hire Purchase,2022-09-05,752.25,-0.11,460.30,846.95,443.95,"1,270.00",,,365.00,"1,270.00","4,074.51","7,632.78",1.99,33.17,37.23,-3.38,7.82,,,24.16,25.52,2.99,3.61,7.82,21.78,0.40,12.89,5.51,-5.08,30.85,249.52,-146.78,-142.69,3.00,0.11
Nesco Ltd.,505355,NESCO,INE317F01035,Construction,Commercial Complexes,2022-09-05,567.60,-0.80,501.95,687.15,380.00,816.90,380.00,816.90,0.46,816.90,"3,999.31","3,832.97",0.10,-1.30,5.61,-5.71,2.48,1.60,15.97,20.15,20.74,2.31,2.88,7.62,9.30,0.53,13.72,10.86,24.50,28.46,248.57,23.16,10.25,3.00,0.17
Nocil Ltd.,500730,NOCIL,INE163A01018,Materials,Rubber & Rubber Products,2022-09-05,285.70,2.18,190.70,321.30,44.70,321.30,44.70,321.30,4.75,321.30,"4,760.41","4,625.17",8.06,8.45,10.57,0.86,49.24,15.65,34.14,24.40,20.48,3.16,2.45,5.75,1.93,1.05,14.49,2.74,-157.53,11.71,90.45,-1.81,-4.07,3.00,0.11
Oberoi Realty Ltd.,533273,OBEROIRLTY,INE093I01010,Construction,Real Estate,2022-09-05,"1,040.30",1.66,705.55,"1,051.90",290.00,"1,051.90",290.00,"1,051.90",153.15,"1,051.90","37,758.27","38,870.49",7.44,16.04,36.16,36.42,24.91,21.43,16.36,27.57,29.30,3.50,2.39,4.18,1.11,0.29,24.02,11.36,35.33,37.67,296.31,29.39,-5.02,3.00,0.01
Rallis India Ltd.,500355,RALLIS,INE613A01020,Chemicals,Pesticides,2022-09-05,225.25,-0.35,182.50,324.85,125.00,362.60,125.00,362.60,1.94,362.60,"4,383.33","4,181.03",-0.35,1.05,11.98,-19.32,12.85,0.27,5.12,29.35,23.84,2.48,3.07,5.60,23.90,1.33,14.43,1.61,26.43,7.68,90.71,8.53,-1.10,3.00,0.31
Saregama India Ltd.,532163,SAREGAMA,INE979A01025,Services,Media & Entertainment,2022-09-05,412.10,0.01,325.00,550.59,18.19,550.59,18.19,550.59,3.03,550.59,"7,966.89","7,094.07",1.40,1.55,-0.46,24.22,131.39,54.36,47.25,47.76,23.74,6.09,3.74,3.80,0.62,0.07,29.13,12.35,84.37,8.65,67.80,4.90,2.81,3.00,0.25
Sobha Ltd.,532784,SOBHA,INE671H01015,Construction,Real Estate,2022-09-05,708.10,0.70,480.20,"1,045.00",117.90,"1,045.00",117.90,"1,045.00",61.00,"1,248.00","6,725.99","9,000.19",-0.56,5.21,32.83,-7.97,9.81,12.72,7.77,56.19,20.64,2.66,1.91,11.20,-9.68,0.42,9.06,2.40,8.19,12.62,266.14,86.58,13.47,3.00,0.32
The Ramco Cements Ltd.,500260,RAMCOCEM,INE331A01037,Materials,Cement,2022-09-05,755.40,0.96,575.65,"1,119.60",455.00,"1,132.70",455.00,"1,132.70",16.00,"1,132.70","17,849.53","21,424.96",1.21,2.64,19.75,-27.83,2.34,1.63,15.26,21.80,29.87,2.65,3.76,4.03,3.40,0.40,17.06,2.77,15.73,34.66,284.90,48.03,-22.76,3.00,0.33
Uflex Ltd.,500148,UFLEX,INE516A01017,Materials,Packaging & Containers,2022-09-05,763.50,1.71,431.65,811.05,118.25,811.05,118.25,811.05,9.05,811.05,"5,513.35","9,407.42",-5.14,21.98,23.82,56.09,54.91,12.53,22.93,4.56,4.87,0.78,0.52,21.75,0.16,0.39,3.76,0.39,7.97,167.39,977.75,95.84,-93.84,3.00,0.06
Rashtriya Chemicals & Fertilizers Ltd.,524230,RCF,INE027A01015,Chemicals,Nitrogenous Fertilizer.,2022-09-05,100.20,1.01,66.00,112.65,22.00,112.65,22.00,112.65,4.00,150.45,"5,527.91","6,021.97",-4.62,6.54,7.63,33.78,35.14,1.38,6.54,7.15,18.36,1.34,1.13,22.12,0.43,3.71,4.44,0.36,1.06,14.01,75.00,94.63,87.13,2.98,0.11
Bank Of Baroda,532134,BANKBARODA,INE028A01039,Financial,Banking,2022-09-05,133.85,2.06,76.70,134.80,36.00,134.80,36.00,206.65,6.02,228.90,"69,218.68","47,094.07",4.33,12.86,31.03,69.00,12.78,-0.44,0.62,8.04,26.76,0.74,0.60,108.28,0.44,2.13,2.10,0.92,10.60,16.64,182.00,12.63,-27.35,2.85,0.01
Steel Authority Of India Ltd.,500113,SAIL,INE114A01011,Metals & Mining,Finished Steel,2022-09-05,80.50,1.64,63.60,131.80,20.15,151.30,20.15,151.30,0.79,151.30,"33,250.73","69,594.08",-1.47,4.61,6.41,-34.26,35.65,5.26,17.97,3.63,9.20,0.61,0.63,20.63,0.15,10.87,3.87,0.31,1.42,22.15,132.85,56.72,34.32,2.80,0.39
Mishra Dhatu Nigam Ltd.,541195,MIDHANI,INE099Z01011,Metals & Mining,Other Metal Products,2022-09-05,210.05,4.06,155.55,214.60,114.60,278.80,,,86.05,278.80,"3,934.14","3,846.07",10.41,24.33,22.69,12.63,22.26,,,22.39,19.93,3.26,3.42,7.31,2.73,1.48,12.81,4.72,22.37,9.38,64.44,9.39,-0.15,2.78,0.02
Triveni Turbine Ltd.,533655,TRITURBINE,INE152M01016,Capital Goods,Industrial Machinery,2022-09-05,231.25,8.09,131.00,242.80,45.50,242.80,45.50,242.80,30.00,242.80,"7,489.37","6,173.12",15.51,24.03,37.28,61.37,30.90,12.17,17.97,26.68,30.54,8.37,6.92,3.23,1.20,1.10,29.83,8.08,17.28,8.68,27.68,13.41,13.49,2.55,0.05
Aegis Logistics Ltd.,500003,AEGISCHEM,INE208C01025,Services,Logistics,2022-09-05,280.35,-1.48,167.25,303.60,107.25,394.40,107.25,394.40,0.25,394.40,"9,840.29","10,225.47",4.88,4.37,25.41,8.18,14.49,8.11,37.34,24.95,37.90,4.30,4.85,6.53,1.08,0.89,16.21,1.59,37.43,11.23,65.16,7.49,-3.53,2.50,0.08
Balrampur Chini Mills Ltd.,500038,BALRAMCHIN,INE119A01028,Consumer Staples,Sugar,2022-09-05,362.10,0.29,297.60,525.90,68.80,525.90,58.70,525.90,6.50,525.90,"7,388.29","8,570.16",3.19,-0.66,-9.81,-2.14,39.74,15.91,18.04,18.45,7.18,2.65,1.59,6.77,-3.54,0.69,13.14,1.54,10.64,19.61,136.30,34.04,11.70,2.50,0.31
Crompton Greaves Consumer Electricals Ltd.,539876,CROMPTON,INE299U01018,Consumer Discretionary,Kitchenware & Appliances,2022-09-05,392.70,-0.65,312.00,512.80,177.30,512.80,177.30,512.80,125.00,512.80,"24,965.57","25,193.00",-5.24,0.99,7.77,-16.95,19.85,12.52,,41.29,39.65,10.20,13.63,3.71,2.59,0.64,27.15,4.02,34.51,9.51,38.48,11.42,8.68,2.50,0.23
Glenmark Pharmaceuticals Ltd.,532296,GLENMARK,INE935A01035,Healthcare,Drugs & Pharma,2022-09-05,371.45,0.49,348.50,551.80,161.65,690.95,161.65,711.90,1.89,"1,262.90","10,485.37","12,690.59",-1.64,-1.68,-4.55,-30.41,-0.99,-9.23,-1.49,12.67,15.04,1.13,2.14,17.58,-2.14,0.67,5.14,0.88,9.46,29.33,328.93,39.29,4.57,2.50,0.33
Intellect Design Arena Ltd.,538835,INTELLECT,INE306R01017,Technology,Software,2022-09-05,614.05,2.68,562.65,986.65,43.80,986.65,43.80,986.65,43.80,986.65,"8,304.26","7,575.54",4.58,-1.01,-9.70,-5.57,43.26,41.08,,24.13,32.70,4.63,3.11,5.83,0.27,0.41,14.49,4.13,18.33,25.44,132.64,33.66,16.50,2.50,0.38
Ircon International Ltd.,541956,IRCON,INE962Y01021,Construction,Construction,2022-09-05,42.60,-1.05,34.80,53.40,29.00,59.90,,,29.00,59.90,"4,006.60",-115.28,5.71,7.98,7.71,-1.96,7.61,,,6.18,9.12,0.84,0.95,-646.68,0.88,5.87,-0.13,0.49,2.85,6.89,51.01,14.94,14.20,2.50,0.20
Jyothy Labs Ltd.,532926,JYOTHYLAB,INE668F01031,Consumer Staples,Household & Personal Products,2022-09-05,189.30,0.08,130.15,198.40,85.00,198.40,85.00,249.00,10.50,249.00,"6,976.96","6,861.09",-0.16,9.93,19.92,12.44,10.50,-0.52,9.61,41.18,30.93,4.68,4.32,3.52,-21.63,1.32,25.21,3.08,34.44,4.61,40.61,5.52,4.50,2.50,0.05
KEI Industries Ltd.,517569,KEI,INE878B01027,Capital Goods,Wires & cables,2022-09-05,"1,474.30",2.08,770.00,"1,505.00",208.30,"1,505.00",208.30,"1,505.00",0.36,"1,505.00","13,297.07","12,998.28",5.25,6.12,13.52,89.10,46.14,41.94,57.20,32.26,20.17,5.96,4.45,4.60,1.01,0.17,20.00,2.12,58.16,45.76,247.46,25.37,12.90,2.50,0.02
Mahindra CIE Automotive Ltd.,532756,MAHINDCIE,INE536H01010,Metals & Mining,Castings & Forgings,2022-09-05,273.10,-0.16,163.95,312.00,58.60,312.00,58.60,312.00,34.65,384.10,"10,381.92","11,083.03",-3.33,2.86,39.80,20.79,20.51,2.87,17.59,17.40,62.86,1.92,1.70,7.86,0.95,0.91,9.70,1.10,9.88,15.73,142.35,27.73,9.09,2.50,0.12
NLC India Ltd.,513683,NLCINDIA,INE589A01014,Energy,Electricity Generation,2022-09-05,77.90,0.32,51.40,92.40,34.95,92.40,34.95,119.75,4.90,277.95,"10,801.90","37,205.92",1.50,11.29,1.37,48.52,12.99,-4.84,0.03,8.26,6.20,0.73,0.63,10.62,0.10,3.21,6.95,0.85,2.46,9.42,106.43,31.66,1.94,2.50,0.16
Poly Medicure Ltd.,531768,POLYMED,INE205C01021,Healthcare,Medical Devices & Equipment,2022-09-05,872.25,-3.03,651.10,"1,078.00",190.15,"1,165.00",165.10,"1,165.00",0.50,"1,165.00","8,378.47","8,385.50",15.02,18.26,14.41,-9.10,63.15,33.81,36.45,61.66,36.90,7.52,7.11,2.62,2.70,0.29,35.47,8.73,70.57,14.17,116.15,12.38,2.48,2.50,0.19
Relaxo Footwears Ltd.,530517,RELAXO,INE131B01039,Consumer Discretionary,Footwear,2022-09-05,"1,010.05",0.35,925.00,"1,448.00",461.05,"1,448.00",242.38,"1,448.00",0.66,"1,448.00","25,127.84","24,927.49",2.64,-0.56,2.61,-16.12,29.77,31.53,41.25,104.53,73.13,13.99,12.61,1.46,7.04,0.25,54.39,8.90,448.79,9.66,72.17,2.25,-3.01,2.50,0.30
RHI Magnesita India Ltd.,534076,RHIM,INE743M01012,Capital Goods,Refractories,2022-09-05,613.65,-1.55,323.30,675.00,108.00,675.00,108.00,675.00,22.75,675.00,"9,846.54","10,033.56",9.99,21.59,7.63,66.03,45.82,32.79,35.81,32.67,30.44,8.86,6.86,4.18,1.05,0.41,23.04,4.54,361.19,18.72,69.01,1.69,-2.66,2.50,0.09
SBI Cards & Payments Services Ltd.,543066,SBICARD,INE018E01016,Financial,Misc. Fin.services,2022-09-05,936.35,0.41,655.70,"1,160.60",,,,,495.00,"1,165.00","88,313.62","108,938.76",3.12,-0.85,21.07,-15.52,,,,45.56,65.59,10.60,10.82,4.17,0.39,0.27,28.19,8.20,-20.11,20.55,88.34,-46.56,-73.76,2.50,0.19
Varun Beverages Ltd.,540180,VBL,INE200M01013,Consumer Staples,Food Processing,2022-09-05,"1,033.40",0.17,539.20,"1,084.15",214.31,"1,084.15",143.88,"1,084.15",100.74,"1,084.15","67,140.70","70,091.37",0.98,2.95,40.86,70.76,54.25,46.33,,51.72,56.42,13.94,7.14,2.92,0.94,0.16,27.59,5.55,54.52,19.99,74.13,28.44,4.01,2.50,0.05
VIP Industries Ltd.,507880,VIPIND,INE054A01027,Materials,Packaging & Containers,2022-09-05,586.95,-0.69,472.40,774.60,187.65,774.60,187.65,774.60,2.62,774.60,"8,310.56","8,441.93",-0.71,-2.17,-0.84,20.66,13.18,19.74,22.68,62.34,50.24,13.45,10.86,2.65,8.79,0.43,32.08,4.96,-350.95,9.43,43.70,-1.67,-6.34,2.50,0.24
